Restaurant,Rating,Cuisine,Price_for_Two,Location,Delivery_Time
Galaxy Pizza,4.3,Pizza,"₹1,500 for two",Madhapur,
Cosy Box,4.6,"Asian, Italian, Turkish, Japanese, European, Mediterranean, Kebab, Desserts","₹3,500 for two",Madhapur,
Saulé,4.5,"North Indian, Asian, Continental, Italian, Mexican, European, Cafe, Coffee","₹2,800 for two",Madhapur,
Elito Coffee Eatery,4.4,"Asian, Pasta, Pizza, Mexican, Pancake, Coffee, Desserts, Shake","₹1,000 for two",Madhapur,Closes in 1 hour 12 minutes
Oh! Calcutta,4.7,"Bengali, North Indian, Seafood, Beverages","₹1,800 for two",Madhapur,Closes in 1 hour 42 minutes
Bizou-Bizou,4.2,"European, Asian","₹2,400 for two",Madhapur,
Peach,4.3,"Continental, Salad, Chinese, Beverages","₹2,400 for two",Madhapur,Closes in 1 hour 12 minutes
The Imperial Spice,4.5,"North Indian, Continental, Mughlai, Italian, Kebab, Biryani, Beverages, Desserts","₹2,700 for two",Madhapur,
Navvos,4.1,"Italian, Oriental, Arabian","₹1,300 for two",Madhapur,
The House Of Celeste,4.1,"North Indian, Continental, Asian, Pizza, Italian, Bar Food, Desserts, Beverages","₹3,000 for two",Madhapur,
Begam,4.3,"Middle Eastern, Turkish, Mediterranean","₹2,900 for two",Madhapur,
Cafe De Flora,4.4,"Continental, Italian, Pasta, Pizza, Coffee, Salad, Cafe","₹2,000 for two",Madhapur,Closes in 1 hour 42 minutes
Adige Dosa House,4.4,"South Indian, Beverages","₹1,100 for two",Madhapur,Closes in 42 minutes
Rajwada Bhog,4.3,"Rajasthani, Gujarati, Kathiyawadi","₹1,200 for two",Madhapur,Closes in 1 hour 12 minutes
The Walk,4.2,"North Indian, Chinese, Pasta, Pizza, Momos, Sandwich, Fast Food, Beverages","₹1,500 for two",Madhapur,
Roohani-By Noiz,4.2,"Bar Food, Asian, Italian, Pizza, Continental, North Indian, Coffee, Beverages","₹3,000 for two",Madhapur,
The Piano Man,4.1,"European, Asian, Italian, North Indian","₹3,000 for two",Madhapur,
Jalisco Brews & Bites,4.5,"North Indian, Beverages, Mexican","₹3,000 for two",Madhapur,
Warehouse Cafe,4.2,"North Indian, Italian, Asian, Kebab, Beverages","₹3,000 for two",Madhapur,
Copper Chimney,4.4,"North Indian, Mughlai, Biryani, Kebab, Desserts, Beverages","₹1,500 for two",Madhapur,Closes in 1 hour 42 minutes
Hard Rock Cafe,4.1,"American, Continental, Italian, Wraps, Burger, Desserts, Fast Food, Beverages","₹1,500 for two",Madhapur,
Brewocrat - Brewery Skybar & Kitchen,4.5,"Continental, Sushi, North Indian, Mediterranean, Asian, Pizza, American, Burger","₹2,500 for two",Madhapur,
You Mee,4.6,"Asian, Japanese, Sushi, Chinese, Thai, Desserts, Beverages","₹3,000 for two",Madhapur,Closes in 1 hour 42 minutes
Spectra - The Leela Ambience,4.4,"North Indian, Continental, Oriental, Japanese, Desserts, Beverages, Italian","₹8,500 for two",Madhapur,
Bellagio,4.5,"European, Italian, Arabian, Mughlai, Modern Indian, Salad, Desserts","₹3,500 for two",Madhapur,
NAO - Next Asian Outing,4.7,"Asian, Beverages, Chinese, Desserts, Korean, Sushi, Japanese, Thai","₹2,300 for two",Madhapur,
Seasonal Tastes - The Westin Gurgaon,4.4,"North Indian, Asian, Sichuan, Kebab, Desserts, Rolls","₹4,000 for two",Madhapur,
Birch By Romeo Lane,4.4,"Modern Indian, North Indian, Asian, Street Food, Pizza, Pasta","₹2,400 for two",Madhapur,
Sky Rozo,4.3,"Asian, Continental, North Indian, Biryani, Chinese, European, Italian, Desserts","₹1,700 for two",Madhapur,
Ru-Bar-Ru,4.2,"Fast Food, Japanese, Chinese, Pizza, Kebab, North Indian, Oriental, Bar Food","₹1,500 for two",Madhapur,
PORCHE,4.3,"Mediterranean, Asian","₹2,500 for two",Madhapur,
Barish Lounge & Rooftop,4.0,"North Indian, Chinese, Asian, Pizza, Fast Food, Desserts, Beverages, Biryani","₹1,600 for two",Madhapur,
Zylo By Kakapo,4.2,"Italian, Asian, Sushi, Mediterranean, Continental, Desserts","₹3,000 for two",Madhapur,
Yuvan Cafe & Restro,4.3,"North Indian, Biryani, Fast Food, Beverages","₹1,000 for two",Madhapur,Closes in 1 hour 12 minutes
Dana Choga,4.4,"North Indian, Mughlai, Kebab, Chinese, Asian, Desserts","₹1,100 for two",Madhapur,Closes in 1 hour 12 minutes
VOILA - WINE | DINE | SKYLINE,4.1,"North Indian, Chinese, Pizza, Desserts, Italian, Lebanese, Asian, Pasta","₹1,900 for two",Madhapur,
KOPPARRAI The South Indian Kitchen,4.4,"South Indian, Desserts, Beverages, Andhra, Chettinad, Seafood","₹1,400 for two",Madhapur,Closes in 1 hour 12 minutes
Bhawan,4.7,"Modern Indian, Bar Food, Mithai, North Indian, Desserts, Beverages","₹3,400 for two",Madhapur,Closes in 1 hour 12 minutes
Ciel,3.9,"North Indian, Bar Food, Biryani, Sushi, Pizza, Chinese, Desserts, Shake","₹1,500 for two",Madhapur,
Cabaana Kitchen & Bar,4.3,"North Indian, Chinese, Cafe","₹1,800 for two",Madhapur,
Olive Bar & Kitchen,4.6,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts","₹5,000 for two",Madhapur,
Bo Tai,4.7,"Thai, Asian","₹3,500 for two",Madhapur,
Chica Loca By Sunny Leone,4.5,"Middle Eastern, North Indian, Seafood","₹3,500 for two",Madhapur,
Basko,4.0,"Asian, Italian, Desserts, Alcoholic Beverages, Bar Food, International, Beverages, Modern Indian","₹2,700 for two",Madhapur,
Noor by Khubani,4.1,Bar Food,"₹3,000 for two",Madhapur,
Jamun,4.5,"North Indian, Mughlai, Fast Food, Beverages","₹2,300 for two",Madhapur,Closes in 1 hour 42 minutes
MisoSexy,4.0,"Chinese, Asian, Japanese, Continental, Sushi, Sichuan, Beverages","₹4,500 for two",Madhapur,
Rose Cafe,4.2,"Cafe, Italian, Continental, Mediterranean, Fast Food, Beverages, Desserts","₹2,200 for two",Madhapur,Closes in 1 hour 12 minutes
The Autumn House,4.4,"Cafe, Coffee, Mexican, European, Italian, North Indian, Salad, Beverages","₹1,200 for two",Madhapur,Closes in 1 hour 12 minutes
Trippy Tequila,4.2,"Asian, North Indian, European, Burmese","₹1,900 for two",Madhapur,
Kutumbh,4.5,"North Indian, Biryani, Kebab, Chinese, Desserts, Beverages, Rolls, Salad","₹1,200 for two",Madhapur,Closes in 1 hour 12 minutes
Sufiaana By Cherish,4.6,"North Indian, Mediterranean, Asian, European, Chinese","₹2,400 for two",Madhapur,
The GT Road,4.3,"North Indian, Mughlai, Bar Food, Desserts, Beverages","₹2,400 for two",Madhapur,
The Irish House,4.3,"Continental, BBQ, Burger, Fast Food, Asian, Mexican, Desserts, Beverages","₹3,500 for two",Madhapur,
The Pavilion - ITC Maurya,4.3,"North Indian, South Indian, Italian, Continental, Desserts, Beverages","₹3,500 for two",Madhapur,
Nowhere Terrace Brewpub Cafe,4.3,"North Indian, Asian, Continental, Sushi, Fast Food, Italian, Sandwich","₹2,800 for two",Madhapur,
Zythos Loft Bar And Brew,4.2,"North Indian, Chinese, Korean, Asian, Italian, Continental, Salad, Sushi","₹2,200 for two",Madhapur,
EasyTiger by Boraan,4.7,"Thai, Alcoholic Beverages, Asian, Oriental, Beverages","₹3,500 for two",Madhapur,
Maltt & Myths,4.3,"North Indian, Kebab, Asian, Chinese, Pizza, Pasta, Sushi, Desserts","₹2,700 for two",Madhapur,
TUBATA,3.6,"Asian, Modern Indian, International, Desserts, Beverages","₹2,500 for two",Madhapur,
Limitless,4.4,"Modern Indian, Italian, Continental, Chinese, Arabian","₹2,800 for two",Madhapur,
Garden Lovers Botanical Boutique & Cafe,4.3,"Cafe, Coffee, Tea, Continental, Salad, Asian, Shake, American","₹1,200 for two",Madhapur,Closes in 57 minutes
Sandoz BBQ,3.7,"North Indian, BBQ","₹2,000 for two",Madhapur,Closes in 1 hour 12 minutes
Kogai - Fine Japanese Dining,4.6,"Japanese, Sushi, Salad, Asian","₹2,000 for two",Madhapur,Closes in 42 minutes
Marièta,4.5,"Pizza, Asian, Italian, Pasta, Salad, Alcoholic Beverages, Beverages, Desserts","₹2,500 for two",Madhapur,
Curry Crown,4.3,"North Indian, South Indian, Mughlai, Biryani, Seafood, Chinese, Italian, Fast Food","₹1,500 for two",Madhapur,
Hosa,,"Seafood, South Indian, Desserts, Beverages","₹3,500 for two",Madhapur,Closes in 1 hour 12 minutes
Kikli,,"North Indian, Kebab, Mughlai","₹2,000 for two",Madhapur,Closes in 1 hour 42 minutes
Minerals,4.5,"North Indian, Indo-Chinese, Italian, Beverages, Continental, Cafe","₹1,100 for two",Madhapur,
Camo Modern Cookhouse,4.3,"Modern Indian, Asian","₹2,400 for two",Madhapur,Closes in 57 minutes
Breakin' Brew,4.7,"Cafe, Coffee, Chinese, Continental, Italian, Pasta, North Indian, Desserts","₹1,800 for two",Madhapur,Closes in 42 minutes
Kioki,4.5,Japanese,"₹1,800 for two",Madhapur,Closes in 1 hour 12 minutes
Unico,4.5,"Pizza, Italian, Continental, Desserts","₹2,400 for two",Madhapur,Closes in 57 minutes
EBISU Fine Japanese Cuisine,4.7,"Japanese, Sushi, Seafood, Hot Pot, Desserts, Asian, Oriental","₹2,000 for two",Madhapur,Closes in 1 hour 12 minutes
House Of Royals,4.2,"North Indian, Mughlai, Chinese, Continental, Italian, Sushi, Biryani, Desserts","₹1,500 for two",Madhapur,
Miss Doozy,4.7,"North Indian, Biryani, Italian, Bar Food, Chinese, Shake, Beverages","₹2,000 for two",Madhapur,
CAD Tech Bar,4.4,"European, Modern Indian, Chinese, Asian, Thai, Italian","₹2,500 for two",Madhapur,
Duty Free Courtyard,3.9,"North Indian, Continental, Chinese, Biryani, Desserts","₹1,900 for two",Madhapur,
Rooftop - The View,4.4,"North Indian, Chinese, Continental, Italian, Asian, South American, Beverages","₹3,400 for two",Madhapur,Closes in 1 hour 57 minutes
Laidback Cafe,4.6,"Asian, Oriental, Continental, Italian, Middle Eastern, North Indian, Desserts, Beverages","₹1,800 for two",Madhapur,Closes in 1 hour 42 minutes
Open Tap Golf Course Road,4.6,"Finger Food, North Indian, Biryani, Continental, Chinese, Desserts, Beverages, Rolls","₹2,500 for two",Madhapur,
7 Barrel Brew Pub,4.2,"North Indian, Continental, Chinese, Kebab, Salad, Pizza, Beverages","₹2,500 for two",Madhapur,
The Lhasa Lounge,4.4,"Asian, Tibetan, Chinese, Momos, Thai, Desserts, Shake, Beverages","₹1,500 for two",Madhapur,Closes in 1 hour 12 minutes
The Bikers Cafe,4.4,"Continental, Healthy Food, Italian, Oriental, Sushi, North Indian, Bar Food, Beverages","₹2,100 for two",Madhapur,
Chirag Family Dhaba,,"North Indian, Chinese, Fast Food, Shake, Beverages",₹300 for two,Madhapur,Closes in 12 minutes
Sip N Slice,,"Pizza, Fast Food, Desserts, Beverages",₹500 for two,Madhapur,Closes in 12 minutes
The Sky Patio,4.4,"North Indian, Chinese, Italian, Beverages, Desserts","₹1,600 for two",Madhapur,Closes in 1 hour 42 minutes
Noidawery,4.4,"Finger Food, Italian, Continental, Beverages","₹1,400 for two",Madhapur,
Indian Grill Room,4.5,"North Indian, Chinese","₹1,800 for two",Madhapur,
The Beer Garden,4.2,"North Indian, Biryani, Fast Food, Pizza, Pasta, Salad, Chinese, Desserts","₹1,800 for two",Madhapur,
Mainland China,4.2,"Chinese, Sushi, Thai, Asian, Seafood","₹2,000 for two",Madhapur,Closes in 1 hour 12 minutes
Underdoggs,4.4,"North Indian, Asian, Mexican, Continental, Finger Food","₹2,500 for two",Madhapur,
Mustard Madras,4.5,"South Indian, Andhra, Kerala, North Indian","₹2,000 for two",Madhapur,
Baba's,4.3,"North Indian, Mughlai, Chinese, Salad, Desserts, Beverages, Ice Cream, Kebab","₹1,200 for two",Madhapur,Closes in 1 hour 42 minutes
Asper,4.9,"European, Middle Eastern, Continental","₹3,200 for two",Madhapur,Closes in 1 hour 42 minutes
Team Kitchen and Bar,4.4,"North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages, Bar Food, Pasta","₹1,000 for two",Madhapur,Closes in 1 hour 42 minutes
Zuvaah Terrace Bar & Kitchen,4.3,"Chinese, Italian, North Indian, Sushi, Salad, Bar Food, Desserts, Beverages","₹2,000 for two",Madhapur,
EDNA Lounge,4.5,"European, Mexican, Burger, Desserts","₹1,200 for two",Madhapur,
Si Nonna’s - The Original Sourdough Pizza,4.5,"Pizza, Bar Food, Fast Food, Beverages","₹1,000 for two",Madhapur,
Cafe Tesu,4.5,"Italian, Continental, Asian, Desserts, Cafe, Beverages, Sandwich, Pasta","₹1,200 for two",Madhapur,
"Unlocked - Bar, Kitchen, Escape Room",4.1,"Continental, Chinese, North Indian, Pizza","₹2,800 for two",Madhapur,
Kitchen Craft - Hilton Gurugram Baani City Centre,4.2,"North Indian, Thai, Asian, Chinese, Continental, European, Mediterranean","₹6,500 for two",Madhapur,Closes in 1 hour 12 minutes
The BBQ Company,3.8,"North Indian, Mughlai, BBQ, Alcoholic Beverages, Beverages, Pizza, Seafood","₹1,600 for two",Madhapur,Closes in 1 hour 12 minutes
Desi Vibes,4.5,"North Indian, Mughlai","₹1,400 for two",Madhapur,Closes in 1 hour 12 minutes
Appetito,4.5,"Asian, Chinese, Italian, North Indian, Continental, Fast Food, Desserts, Beverages","₹1,500 for two",Madhapur,Closes in 12 minutes
La Vie Douce,4.6,"Continental, Italian, Desserts, European, Coffee, Cafe","₹1,500 for two",Madhapur,Closes in 57 minutes
Big Yellow Door,4.5,"Sandwich, Burger, Pizza, Pasta, Italian",₹700 for two,Madhapur,Closes in 1 hour 12 minutes
Soca - Brew Lounge,4.2,"North Indian, Asian, Sandwich, Thai, Salad, Desserts, Coffee, Beverages","₹2,000 for two",Madhapur,
Koala Kitchen Bar,4.1,"Fast Food, Chinese, Cafe","₹2,300 for two",Madhapur,Closes in 1 hour 42 minutes
Oudh 1590,4.3,"North Indian, Mughlai, Biryani, Seafood, Awadhi, Beverages","₹1,300 for two",Madhapur,Closes in 1 hour 12 minutes
Whisky Samba,4.2,"Asian, Sushi, Japanese, Seafood, Modern Indian, Finger Food, Beverages, Desserts","₹5,000 for two",Madhapur,
Fika Coffee Co.,4.2,"Cafe, Coffee, Pizza, Continental, Fast Food, Momos, Shake, Beverages",₹850 for two,Madhapur,Closes in 1 hour 57 minutes
The Mission Bay,,"Fast Food, Continental, Healthy Food, Salad, Italian","₹3,500 for two",Madhapur,Closes in 1 hour 12 minutes
Haveli Of Grill,3.9,"North Indian, Biryani, Oriental","₹1,500 for two",Madhapur,Closes in 1 hour 27 minutes
Hamoni : Cafe By The Greens,4.5,"International, Cafe, North Indian, Italian, Chinese, Fast Food, Salad, Asian","₹1,500 for two",Madhapur,Closes in 42 minutes
Indy by Qla,4.7,"North Indian, Modern Indian, Beverages, Desserts","₹4,000 for two",Madhapur,
Avartana - ITC Maurya,4.5,South Indian,"₹7,500 for two",Madhapur,Closes in 1 hour 12 minutes
Bella Vie,3.7,"Cafe, Continental, Italian, Chinese, Pasta, Beverages, Shake, Desserts","₹1,000 for two",Madhapur,Closes in 1 hour 42 minutes
Honk - Pullman New Delhi Aerocity,4.8,"Vietnamese, Thai, Burmese, Japanese, Malaysian, Chinese, Korean","₹6,000 for two",Madhapur,Closes in 1 hour 42 minutes
La Bamba,4.0,"Modern Indian, Asian","₹2,500 for two",Madhapur,
MEGU - The Leela Palace,4.8,"Japanese, Sushi","₹7,500 for two",Madhapur,Closes in 1 hour 57 minutes
Upstairs Bar & Kitchen,4.2,"North Indian, Italian, Japanese, Asian, Beverages","₹1,900 for two",Madhapur,
Leo's,4.3,"Pizza, Coffee, Beverages","₹1,900 for two",Madhapur,Closes in 1 hour 57 minutes
Penthouse Dutyfree - PHD,3.8,"North Indian, Chinese, Fast Food, Asian","₹1,500 for two",Madhapur,
Ministry Of Daru,4.3,"Finger Food, Chinese, Continental, Italian, Mughlai, North Indian","₹1,800 for two",Madhapur,
Barrack 62 The Gastro Pub,4.4,"North Indian, Continental, Oriental, Fast Food, Desserts, Beverages","₹1,900 for two",Madhapur,
Silq,4.5,"Mediterranean, Mughlai, Modern Indian, Beverages","₹4,000 for two",Madhapur,
Roesia,4.4,"Italian, Oriental, North Indian, Desserts, Asian, Continental, Mediterranean, Alcoholic Beverages","₹2,000 for two",Madhapur,
India Grill - Hilton Garden Inn,4.1,"North Indian, Chinese, Continental, Asian, Biryani, Kebab, Mughlai, Bar Food","₹2,400 for two",Madhapur,
Jamie Oliver's Pizzeria,4.4,"Italian, Pizza, Salad, Fast Food, Pasta, Continental","₹2,100 for two",Madhapur,Closes in 1 hour 12 minutes
Oscar Luxe Club | Air Bar,4.1,"Bar Food, Continental, Desserts, Oriental, European, Lebanese, North Indian, Beverages","₹2,500 for two",Madhapur,
Carnivale,4.2,"Fast Food, North Indian, Chinese, Rolls, Street Food","₹1,500 for two",Madhapur,
Club Encore by Vatavaran,4.4,"North Indian, Italian, Oriental, Salad, Mughlai, Continental, Desserts","₹1,800 for two",Madhapur,
The Grammar Room,4.4,"European, Salad, Desserts","₹2,800 for two",Madhapur,Closes in 1 hour 42 minutes
Masala Synergy,4.6,"North Indian, Mughlai, Biryani, Modern Indian, Fusion, Desserts","₹2,300 for two",Madhapur,Closes in 1 hour 42 minutes
Kawaii,3.9,"North Indian, Chinese, Pizza","₹1,800 for two",Madhapur,Closes in 1 hour 42 minutes
Sidecar,4.5,"Asian, Mediterranean, Coffee, Beverages","₹3,000 for two",Madhapur,
AURO,4.2,"Continental, Salad, Asian, Italian, Sandwich, Pasta, Desserts, Beverages","₹2,500 for two",Madhapur,
DumJosh,4.5,"Biryani, North Indian, Chinese, Desserts, Indo-Chinese, Kebab, Middle Eastern, Mughlai","₹1,700 for two",Madhapur,Closes in 1 hour 42 minutes
Auren,4.6,"Cafe, Italian, Pizza, Pasta, Burger, Desserts, Beverages, Fast Food","₹1,200 for two",Madhapur,Closes in 1 hour 42 minutes
Lighthouz Brewery & Kitchen,3.9,"Continental, North Indian, Mughlai, Fast Food, Desserts","₹1,500 for two",Madhapur,Closes in 1 hour 57 minutes
K3 - JW Marriott New Delhi,4.5,"North Indian, Cantonese, Italian, Asian, Desserts","₹4,000 for two",Madhapur,Closes in 1 hour 57 minutes
Cafe Di Milano,4.4,"Italian, North Indian, Continental, Fast Food, Mughlai, Chinese, Desserts, Beverages","₹1,200 for two",Madhapur,Closes in 1 hour 12 minutes
Cream Centre - Vegetarian Legacy Since 1958,4.3,"North Indian, Chinese, Mexican, Italian, Pasta, Pizza, Shake, Biryani","₹1,200 for two",Madhapur,Closes in 1 hour 12 minutes
Della Nucci,4.4,"Cafe, Coffee, Fast Food, Desserts, Sandwich, Pizza, Beverages","₹1,400 for two",Madhapur,
Cafe Niloufer,4.5,₹100 OFF,₹100 OFF,Madhapur,44 min
Swiss Castle,4.4,₹100 OFF,₹100 OFF,Madhapur,36 min
FB Cakes,4.1,₹100 OFF,₹100 OFF,Madhapur,41 min
Karachi Bakery,4.2,₹100 OFF,₹100 OFF,Madhapur,40 min
MS Bakery,4.3,₹100 OFF,₹100 OFF,Madhapur,43 min
Pista House Bakery,4.2,₹100 OFF,₹100 OFF,Madhapur,35 min
MS Bakery & Sweets,4.3,₹100 OFF,₹100 OFF,Madhapur,35 min
The Belgian Truffle,4.3,₹100 OFF,₹100 OFF,Madhapur,42 min
Pista House - Cakes & Desserts,4.4,₹100 OFF,₹100 OFF,Madhapur,37 min
Cream Stone Ice Cream,4.3,₹100 OFF,₹100 OFF,Madhapur,34 min
Harley's Fine Baking,4.4,₹100 OFF,₹100 OFF,Madhapur,37 min
MS Bakery And Sweet House,4.1,₹100 OFF,₹100 OFF,Madhapur,37 min
Crazy Waffle & More,4.3,₹100 OFF,₹100 OFF,Madhapur,38 min
Mahboob Bakers,4.3,₹100 OFF,₹100 OFF,Madhapur,36 min
Scoops Ice Cream,4.5,₹100 OFF,₹100 OFF,Madhapur,34 min
WarmOven Cake & Desserts,4.1,Flat 20% OFF,₹200 for one,Madhapur,46 min
Ganesh Bangalore Iyengar Bakery,4.0,₹100 OFF,₹100 OFF,Madhapur,46 min
UR Bakers,4.2,₹100 OFF,₹100 OFF,Madhapur,48 min
Pista House,4.3,₹100 OFF,₹100 OFF,Madhapur,42 min
Teju Cakes,4.4,₹100 OFF,₹100 OFF,Madhapur,47 min
Deccan Bakery And Sweet,4.2,₹100 OFF,₹100 OFF,Madhapur,42 min
Brown Bear Bakers,4.0,₹100 OFF,₹100 OFF,Madhapur,44 min
Cream Stone Ice Cream Cakes,4.4,₹100 OFF,₹100 OFF,Madhapur,42 min
Temptations,4.3,₹100 OFF,₹100 OFF,Madhapur,40 min
New Alfa Sweets And Bakery,3.8,₹100 OFF,₹100 OFF,Madhapur,41 min
Huber & Holly,4.3,₹100 OFF,₹100 OFF,Madhapur,43 min
The Dessert Zone,4.0,Flat 20% OFF,₹100 for one,Madhapur,45 min
"The Dessert Heaven - Pastry, Brownie and Cakes",4.0,₹100 OFF,₹100 OFF,Madhapur,43 min
Euro Bakers,3.7,₹100 OFF,₹100 OFF,Madhapur,45 min
Ohri's Cake Nation,4.2,₹100 OFF,₹100 OFF,Madhapur,52 min
Sahara Bakers,4.0,₹100 OFF,₹100 OFF,Madhapur,45 min
Nani Cakes,4.3,₹100 OFF,₹100 OFF,Madhapur,41 min
Xocolatl,4.3,Flat 10% OFF,₹250 for one,Madhapur,40 min
Al Baig Sweets And Bakers,4.1,₹100 OFF,₹100 OFF,Madhapur,41 min
Bakers N Florals,4.0,₹100 OFF,₹100 OFF,Madhapur,44 min
Cheesecakes By CakeZone,4.3,₹100 OFF,₹100 OFF,Madhapur,43 min
ibaco,4.3,₹100 OFF,₹100 OFF,Madhapur,42 min
Havmor Icecream,4.3,₹100 OFF,₹100 OFF,Madhapur,39 min
Cupcake Bliss Cakes & Desserts,4.0,Flat 20% OFF,₹150 for one,Madhapur,48 min
Amande By Almond House,4.3,₹100 OFF,₹100 OFF,Madhapur,47 min
Mehfil,4.1,"Biryani, Kebab, Chinese, Mughlai, North Indian, Grilled Chicken, Hyderabadi, Desserts",₹400 for one,Madhapur,48 min
Masqati,4.2,₹100 OFF,₹100 OFF,Madhapur,33 min
Milan Bakery & Sweet House,4.0,₹100 OFF,₹100 OFF,Madhapur,42 min
New Deccan Bakers And Sweets Corner,4.0,₹100 OFF,₹100 OFF,Madhapur,45 min
Dadu's,4.3,₹100 OFF,₹100 OFF,Madhapur,42 min
Subhan Bakery - Since 1948,4.6,₹100 OFF,₹100 OFF,Madhapur,40 min
Bake Delight Bakery,3.8,₹100 OFF,₹100 OFF,Madhapur,41 min
Yours Universe - Bakes & Cakes,4.2,₹100 OFF,₹100 OFF,Madhapur,44 min
7 Layers Bakery And Snacks,4.1,₹100 OFF,₹100 OFF,Madhapur,48 min
Baba Bakery,4.3,₹100 OFF,₹100 OFF,Madhapur,35 min
Kekiz Cake Shop,3.9,₹100 OFF,₹100 OFF,Madhapur,57 min
Meghana Bakers,4.0,₹100 OFF,₹100 OFF,Madhapur,49 min
Alfa bakery,3.7,₹100 OFF,₹100 OFF,Madhapur,48 min
Babar Bakery,4.3,₹100 OFF,₹100 OFF,Madhapur,39 min
Kouzina Kafe - The Food Court,3.6,₹100 OFF,₹100 OFF,Madhapur,48 min
New Srinivasa Bakery,4.2,₹100 OFF,₹100 OFF,Madhapur,42 min
Masqati Ice Cream,4.0,₹100 OFF,₹100 OFF,Madhapur,37 min
Bangalore Iyengar Bakery,4.2,₹100 OFF,₹100 OFF,Madhapur,44 min
Cake Bank,4.2,₹100 OFF,₹100 OFF,Madhapur,41 min
Mithaiwala,4.3,₹100 OFF,₹100 OFF,Madhapur,46 min
Sree Sai Satyanarayana Mithai Bhandar,4.5,₹100 OFF,₹100 OFF,Madhapur,40 min
Ghrelin Cafe & Patisserie,4.3,₹100 OFF,₹100 OFF,Madhapur,41 min
Fruitoholic,4.4,₹100 OFF,₹100 OFF,Madhapur,44 min
Ganache Grove,4.0,₹100 OFF,₹100 OFF,Madhapur,44 min
Coffee And More,4.3,₹100 OFF,₹100 OFF,Madhapur,46 min
Red Oven Bakers,4.1,₹100 OFF,₹100 OFF,Madhapur,39 min
Blue Sea Tea & Bakery,4.1,₹100 OFF,₹100 OFF,Madhapur,39 min
Taiba Bakery & Cafe,4.3,₹100 OFF,₹100 OFF,Madhapur,42 min
Gourmet Ice Cream Cakes by Baskin Robbins,4.1,₹100 OFF,₹100 OFF,Madhapur,46 min
Pop Toad Bakers & Confectioners,4.1,₹100 OFF,₹100 OFF,Madhapur,40 min
Master Chef Bakers And Fast Food,4.2,₹100 OFF,₹100 OFF,Madhapur,43 min
Dumont Creamery,4.2,₹100 OFF,₹100 OFF,Madhapur,43 min
Dip And Dip,4.5,₹100 OFF,₹100 OFF,Madhapur,38 min
Jarvel,4.0,₹100 OFF,₹100 OFF,Madhapur,44 min
Let's Scoop Ice Cream Cafe,4.1,₹100 OFF,₹100 OFF,Madhapur,47 min
Radium Bakery,4.3,₹100 OFF,₹100 OFF,Madhapur,52 min
American Bakers,4.3,₹100 OFF,₹100 OFF,Madhapur,42 min
Yummy Bee,4.2,₹100 OFF,₹100 OFF,Madhapur,45 min
Bakers 'Q',4.2,₹100 OFF,₹100 OFF,Madhapur,41 min
Occasionkart Cakes,3.6,₹100 OFF,₹100 OFF,Madhapur,45 min
TOC - The Original Chefs,4.1,₹100 OFF,₹100 OFF,Madhapur,41 min
ITC Sunfeast Baked Creations,4.2,₹100 OFF,₹100 OFF,Madhapur,49 min
Safeena Bakery & Sweets,4.3,Flat 15% OFF,₹150 for one,Madhapur,33 min
Slice & Smile,4.0,₹100 OFF,₹100 OFF,Madhapur,39 min
Stop N Go Bakers,4.3,₹100 OFF,₹100 OFF,Madhapur,44 min
Grand Hotel - Since 1935,4.2,"Biryani, North Indian, Chinese, Kebab, Seafood, Desserts",₹400 for one,Madhapur,41 min
Swiss Delights (A unit of Dhanturi),4.3,₹100 OFF,₹100 OFF,Madhapur,42 min
Qaffeine,4.4,₹100 OFF,₹100 OFF,Madhapur,57 min
K&C Bakers & Confectioners,4.2,₹100 OFF,₹100 OFF,Madhapur,45 min
Paradise Biryani - A Legend Since 1953,4.3,₹100 OFF,₹100 OFF,Madhapur,35 min
Grand Oven Bakery and Cafe,3.9,₹100 OFF,₹100 OFF,Madhapur,36 min
Fruitoholic Ice Cream,4.3,₹100 OFF,₹100 OFF,Madhapur,44 min
Starbox,4.0,Bakery,₹200 for one,Madhapur,42 min
Oven Basket,4.3,₹100 OFF,₹100 OFF,Madhapur,47 min
Al Arabian Coffee Shop,4.0,₹100 OFF,₹100 OFF,Madhapur,39 min
Max ICE CREAM & BAKER'S,4.1,₹100 OFF,₹100 OFF,Madhapur,39 min
Bakers Kitchen,3.7,₹100 OFF,₹100 OFF,Madhapur,42 min
The Indian Kadhai,3.9,₹100 OFF,₹100 OFF,Madhapur,42 min
The Fresh Cakes Bakers & Snacks,3.8,₹100 OFF,₹100 OFF,Madhapur,42 min
Mirosa Cafe & Kitchen,4.2,₹100 OFF,₹100 OFF,Madhapur,43 min
Hameedi Confectioner,4.4,₹100 OFF,₹100 OFF,Madhapur,32 min
Juveria's Cloud Kitchen,4.0,₹100 OFF,₹100 OFF,Madhapur,40 min
Auberry The Bake Shop,4.0,₹100 OFF,₹100 OFF,Madhapur,51 min
Aamantran Mithai,4.2,₹100 OFF,₹100 OFF,Madhapur,45 min
Churrolto,4.2,₹100 OFF,₹100 OFF,Madhapur,51 min
Balaji Vishnu Sweet House,4.2,₹100 OFF,₹100 OFF,Madhapur,38 min
